Date and time,actual_reporting,predicted_reporting,Indoor_temp_2_measured,Indoor_temp_2_predicted,hour,dayofweek,year
2024-11-09 14:00:00,1.5089722222222222,1.4074476565703486,18.10625,19.332767448558464,14,5,2024
2024-11-09 15:00:00,1.5352499999999996,1.7627254360436018,18.125,19.218898129457894,15,5,2024
2024-11-09 16:00:00,1.6984166666666662,1.7731629807585696,18.11284722222222,18.679138920265952,16,5,2024
2024-11-09 17:00:00,1.7487499999999998,1.883874928572772,18.133333333333336,18.18845038974234,17,5,2024
2024-11-09 18:00:00,2.3948611111111107,2.602221477957406,18.27048611111111,17.86662307097901,18,5,2024
2024-11-09 19:00:00,2.442305555555555,2.745050255105787,18.46458333333333,17.656805586680584,19,5,2024
2024-11-09 20:00:00,2.0349444444444442,2.331237887129915,18.55858134920635,17.44806580934292,20,5,2024
2024-11-09 21:00:00,2.232999999999999,2.175646839786153,18.383333333333333,17.650094699628614,21,5,2024
2024-11-09 22:00:00,2.5769166666666665,2.572209097140642,18.45,17.99374562737567,22,5,2024
2024-11-09 23:00:00,2.7674444444444446,3.027459757947132,18.651736111111113,18.167708740666924,23,5,2024
2024-11-10 00:00:00,2.821888888888889,2.5199095018699813,18.59637896825397,18.059778317084632,0,6,2024
2024-11-10 01:00:00,2.7389444444444444,2.674589316587107,18.33888888888889,17.961659616465106,1,6,2024
2024-11-10 02:00:00,2.6645833333333337,2.676526853232665,18.184722222222224,17.959093435250065,2,6,2024
2024-11-10 03:00:00,2.786666666666667,2.913602550811654,18.35555555555555,17.932948423639544,3,6,2024
2024-11-10 04:00:00,3.151944444444444,2.8524819272228035,18.3140873015873,17.87361527328725,4,6,2024
2024-11-10 05:00:00,2.6169166666666674,2.29816544322878,18.130555555555556,17.671212029794162,5,6,2024
2024-11-10 06:00:00,2.967472222222222,2.560686830485108,18.18611111111111,17.840873763508245,6,6,2024
2024-11-10 07:00:00,3.5932777777777765,3.253787513183423,18.368055555555557,18.294251267803094,7,6,2024
2024-11-10 08:00:00,2.3240555555555553,2.9173910980515165,18.204166666666666,18.27363494392142,8,6,2024
2024-11-10 09:00:00,2.023055555555555,2.508684578802897,18.28923611111111,18.30353178860039,9,6,2024
2024-11-10 10:00:00,1.9445833333333329,1.754378465601131,18.31111111111111,18.780133023389148,10,6,2024
2024-11-10 11:00:00,1.47125,1.3218682713559984,18.21309523809524,19.1599109575876,11,6,2024
2024-11-10 12:00:00,1.7163888888888885,1.4487030128213645,18.153819444444444,19.436619517457153,12,6,2024
2024-11-10 13:00:00,1.2845833333333332,1.0838644728118743,18.119444444444444,19.366277308933547,13,6,2024
2024-11-10 14:00:00,1.3913888888888888,0.8802822087044833,18.11949404761905,19.25248697565016,14,6,2024
2024-11-10 15:00:00,1.4968611111111105,1.5405652954832894,17.927232142857143,18.840600159275365,15,6,2024
2024-11-10 16:00:00,1.6203888888888893,1.660846788799554,18.104861111111113,18.409302392524857,16,6,2024
2024-11-10 17:00:00,2.368333333333333,1.9682521690924455,18.226041666666667,18.210266832539705,17,6,2024
2024-11-10 18:00:00,1.814,2.005952758067072,18.29444444444444,17.861925318689455,18,6,2024
2024-11-10 19:00:00,2.0860555555555553,2.519745492195333,18.276587301587305,17.623074146218066,19,6,2024
2024-11-10 20:00:00,2.443777777777778,2.51331485973921,18.42291666666667,17.424058707296645,20,6,2024
2024-11-10 21:00:00,2.5241944444444453,2.4746071676855577,18.53769841269841,17.504376709045577,21,6,2024
2024-11-10 22:00:00,3.119472222222223,2.7150098843985147,18.574553571428577,17.924028424987924,22,6,2024
2024-11-10 23:00:00,2.4298333333333333,2.622047682030149,18.43730158730159,17.9166682485355,23,6,2024
2024-11-11 00:00:00,2.9956772784019976,4.445884199932586,18.66111111111111,18.434342444262263,0,0,2024
2024-11-11 01:00:00,3.0629166666666676,4.392338303596392,18.63690476190476,18.226487270628205,1,0,2024
2024-11-11 02:00:00,2.858861111111111,4.35067392576629,18.202380952380953,17.98100355721385,2,0,2024
2024-11-11 03:00:00,2.498555555555556,3.62937113083225,18.255555555555553,17.844416138550276,3,0,2024
2024-11-11 04:00:00,3.0460000000000007,3.3946052101599404,18.268402777777776,18.063814464437876,4,0,2024
2024-11-11 05:00:00,3.2344722222222226,4.208081229326658,18.405208333333334,18.225213295447865,5,0,2024
2024-11-11 06:00:00,5.602000000000001,4.725725707100348,19.272222222222226,19.13054953376276,6,0,2024
2024-11-11 07:00:00,4.564472222222222,5.916803060703912,19.184375,19.933889067448064,7,0,2024
2024-11-11 08:00:00,4.237277777777778,5.824846915178797,19.32430555555555,20.317132240143863,8,0,2024
2024-11-11 09:00:00,2.779,5.515742085661944,19.969345238095237,20.48518681485929,9,0,2024
2024-11-11 10:00:00,2.8720277777777774,5.248526541518619,20.09027777777778,21.111570125289507,10,0,2024
2024-11-11 11:00:00,3.352722222222222,4.253496210757025,20.880902777777777,21.514387757332635,11,0,2024
